,"(0, 0)","(0, 1)"
411,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.09779716471659736}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2507.330340952739}}"
412,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6793999581275437}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3242.741857572107}}"
413,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.20342461547448876}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1143.437013254777}}"
414,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8308369843812097}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2120.205395968934}}"
415,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7654857712135754}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5622.278701019123}}"
416,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6610713045952035}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1616.5596567165612}}"
417,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.732319474735888}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4398.7782287302625}}"
418,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6425019109273787}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2015.556147545412}}"
419,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4674854388828438}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7984.6817922320215}}"
420,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9045997474334931}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6044.320730815511}}"
421,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8539343478740221}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5001.952267360061}}"
422,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9795840723184678}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7402.518970480129}}"
423,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9075123192460752}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6317.043092379301}}"
424,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.33963842760177493}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4952.616831255316}}"
425,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.33916666067260043}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6131.778691409986}}"
426,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8619409398956784}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7610.833142735433}}"
427,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.20627454842619358}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2586.196210902005}}"
428,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5401212437277401}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 777.0456702855234}}"
429,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.832624046583948}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5086.330292167068}}"
430,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3045087457384999}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6541.458231934098}}"
431,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4953720162577223}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6557.551897331246}}"
432,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7616892240562554}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3083.180228969874}}"
433,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.27088242771043136}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5433.0794961143565}}"
434,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9065485625855176}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5160.554971067882}}"
435,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9748743576283356}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6236.139862934935}}"
436,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.33806110371643316}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4933.844653296424}}"
437,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9890183051456026}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6077.450472509222}}"
438,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.42479132104064976}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 428.0508046131855}}"
439,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.15120469063484301}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6595.8195471915915}}"
440,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.29439227132479834}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3519.3388210360345}}"
441,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9695157287202393}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 811.9746653654439}}"
442,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.08313834487024684}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3442.812222749269}}"
443,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8345640852800169}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2510.9450874719764}}"
444,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.32738113888476905}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7518.584323461752}}"
445,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.38279729908584537}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1129.56404467405}}"
446,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5539130799290981}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7226.974039185254}}"
447,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5758050410076069}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5714.923823957988}}"
448,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.12306580560165864}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3036.427793555807}}"
449,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4804513591780346}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2590.988146424034}}"
450,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1550872038749207}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 164.19263839600904}}"
451,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8836340020585807}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7977.544154623796}}"
452,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.24176104807430265}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1949.7173886742466}}"
453,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2081804626826546}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4704.802957468349}}"
454,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9273822267756597}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3822.4653107407453}}"
455,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8988442238544628}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3814.824364859639}}"
456,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4067469750052121}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1455.6612685596588}}"
457,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9026168758010906}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6797.249662604711}}"
458,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3373760142289322}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 895.2223927377686}}"
459,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9257394633041887}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1323.8423632699341}}"
460,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5773024309496166}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4758.447312256435}}"
461,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5659976563042536}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7410.215666429123}}"
462,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.19742912885917802}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5297.152515219022}}"
463,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1602987986816203}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3036.5183818705154}}"
464,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3361171139354729}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1933.4765730284375}}"
465,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8998841260260215}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1718.6320647320852}}"
466,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.15751405183627828}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6882.376495954296}}"
467,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.019826574758259892}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6197.2178603568145}}"
468,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.32272032451243843}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6362.315432759137}}"
469,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.45466615808333377}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6039.2591721194485}}"
470,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2647226638831227}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4317.649475204045}}"
471,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9731425785644895}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6100.521367016213}}"
472,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.29762327412382616}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7304.150082859963}}"
473,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.508002706757815}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1888.6608666908019}}"
474,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4644526670472739}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4295.995246768884}}"
475,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.016470471626601944}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1814.1291971461992}}"
476,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6498876748822553}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5626.370236678427}}"
477,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6979087471370807}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6914.572279175863}}"
478,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.21961423432903351}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3200.508680217513}}"
479,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9960832000168425}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 319.53907109485533}}"
480,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.12370509830306296}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5475.33703046558}}"
481,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5991907667123131}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5731.879294682122}}"
482,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6846145695388496}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4171.754864857532}}"
483,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8139592045355963}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2509.536800561146}}"
484,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9859153596363158}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2961.696554035186}}"
485,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.44049023736340104}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4103.503152992978}}"
486,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.08800182663864756}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5358.690617891272}}"
487,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9433215958954806}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3600.183263180712}}"
488,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.857396227714472}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6267.375270662034}}"
489,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4558695196098816}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 877.8283724509164}}"
490,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.34124551677409926}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3961.402893193166}}"
491,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8390020882096876}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2455.604957675727}}"
492,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.11892935598859092}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3844.638755401325}}"
493,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5441541630945725}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2604.04213199197}}"
494,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.0996323482279407}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6288.821355213958}}"
495,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5642652419547938}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4324.137545501235}}"
496,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5228871075827662}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6212.43923200803}}"
497,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.18124551354137095}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 441.87949088046156}}"
498,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1575652422260202}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2002.1803124609148}}"
499,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8969837841961841}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7517.104873899298}}"
500,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5488128909773826}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4710.07847323847}}"
501,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9532844486316927}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1946.6487866180753}}"
502,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7575326351240591}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2506.7533339901406}}"
503,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5670117896339093}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2019.322069822341}}"
504,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7440089568940311}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5860.839689465296}}"
505,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2962900133658455}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3343.962495735296}}"
506,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3887200954704558}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3706.421929296621}}"
507,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6087932637192504}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5723.524933710325}}"
508,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1996475400508789}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3157.952623350917}}"
509,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3731242454341204}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3006.729310101586}}"
510,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.05443923222463084}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2855.3948936983693}}"
511,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5067130721288027}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 131.04603840665965}}"
512,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.21479691436106227}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 467.1819611736234}}"
513,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5410880153849672}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7183.332104465297}}"
514,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.49457441997378093}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4143.512266103298}}"
515,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7150602519546153}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6579.809819019444}}"
516,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9501671800309812}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1070.2962625636253}}"
517,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.22969833555177296}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6682.392607888535}}"
518,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.11899790237984544}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6317.05060321834}}"
519,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9644866807071681}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7595.322370028329}}"
520,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.44025550050689677}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3246.4581340539503}}"
521,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5363947856884466}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2623.2848493308225}}"
522,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2972870992546112}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 477.78762392016085}}"
523,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.665390370188943}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6967.830650791658}}"
524,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3536695593661198}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5729.673483904483}}"
525,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.0271298183463827}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3926.341996048484}}"
526,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9282328599257665}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3528.4921032642555}}"
527,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.33834695256642544}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7964.055524249545}}"
528,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3831959049585781}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7107.433411953116}}"
529,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5011489475104866}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 838.3943058404211}}"
530,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8805377352731408}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2007.8912364984033}}"
531,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.875462171163844}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1263.130648869381}}"
532,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7761535494395565}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6933.218027711212}}"
533,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9897928733137266}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7818.266946212015}}"
534,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6352703840179463}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4851.938086750022}}"
535,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.03390544380431769}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3838.824953869453}}"
536,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.07883621871255446}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6558.158902816067}}"
537,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4100480759821559}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7253.437021118844}}"
538,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7059369255223795}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5059.55189018035}}"
539,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2924190112254144}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7728.165496257513}}"
540,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5916066055762471}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5872.265014723322}}"
541,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8683850598560479}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3588.509608654947}}"
542,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.42389990561630614}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1505.012259854398}}"
543,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7190592687042539}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2190.301319462635}}"
544,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4191208933781512}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2463.1671458695355}}"
545,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.791464705334473}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1621.5015025913465}}"
546,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3292618072095214}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5394.025818302306}}"
547,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9603016793154135}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6545.137185311275}}"
548,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7332279223651237}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1073.9606630028804}}"
549,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.54982880737989}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1092.1015590099557}}"
550,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.22775343245136365}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3543.5329986177344}}"
551,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9454671741460047}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1834.330753154093}}"
552,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7167672709037058}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7299.614405467797}}"
553,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5918345743547477}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 659.0472734935227}}"
554,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3620640245904046}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5324.975440907152}}"
555,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6876533953721001}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3811.680703745599}}"
556,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7598394024468943}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1347.2981649925257}}"
557,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4354563825473879}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3410.5566223014725}}"
558,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.07195362156296281}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4095.4298496078663}}"
559,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5945963110695189}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6168.502528886911}}"
560,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4250373740705446}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7099.677215192802}}"
561,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.986225042808888}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2415.0487468017272}}"
562,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2985658764450966}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6566.689785229683}}"
563,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.427194300511047}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1169.2132949213571}}"
564,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.12547718663520238}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7284.795354925021}}"
565,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3639486283581107}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2360.463707259325}}"
566,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5283305314705279}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2209.262253098055}}"
567,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7455527264167979}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5672.941350879335}}"
568,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6855541766810005}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5740.430617628462}}"
569,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4609922777384981}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3260.85031968651}}"
570,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.39489943321507026}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2706.6245471483803}}"
